Groupid,Id,Matchid,Matchtype,Assists,Boosts,Damagedealt,Headshotkills,Heals,Is Duo,Is Squad,Kills,Killstreaks,Longestkill,Matchduration,Matchkillrank,Matchtypeint,Maxplace,Numenemiesknocked,Numgroups,Overallkillrank,Overallwinbasedrank,Revives,Ridedistance,Swimdistance,Teamkills,Vehicledestroys,Walkdistance,Weaponsacquired,Winplaceperc,Ln Damage Dealt,Ln Match Kill Rank,Ln Win Place Perc,Ln Win Place Perc
32dc8ae9572956,4bda15647cb16c,b262d5270ee227,solo,0,0,53.32,0,0,0,0,0,0,0,"1,208",53,1,97,0,94,"1,494","1,519",0,0,0,0,0,603.6,3,0.6354,3.976311495,3.970291914,-0.453500557,-0.453500557
559ec1194e4a7d,bc952a1b1e62d7,4b8d740dda9ca9,squad,1,3,427.5,0,1,0,1,3,1,181.8,"1,871",11,3,27,2,27,"1,400","1,512",0,5479,0,0,0,2716,6,0.9615,6.057954288,2.397895273,-0.039260714,-0.039260714
7d4155b927c232,eb1cc8c533c91f,a3cb2f821cebee,duo,0,3,393.1,1,5,1,0,3,1,29.67,"1,327",12,2,48,1,46,0,0,1,756.8,0,0,0,2107,3,0.8511,5.974064032,2.48490665,-0.161225648,-0.161225648
8e4fcc73aa9046,3d621777a0b77f,9e9a7fc4f76c37,squad,0,0,142.9,1,0,0,1,2,1,21.61,"1,921",25,3,27,2,26,0,0,0,0,0,0,0,161.3,2,0.0769,4.962145085,3.218875825,-2.565249402,-2.565249402
7f802b015bf341,5ab218d8cd339f,760c1a85499e78,duo,0,0,61.64,0,3,1,0,1,1,2.046,"1,873",28,2,49,1,47,0,0,0,0,0,1,0,455.8,4,0.3125,4.12131101,3.33220451,-1.16315081,-1.16315081
090385f89aff66,f116ee2a9632e8,8c57d39a1ea076,squad,1,0,112.8,0,0,0,1,0,0,0,"1,919",44,3,28,0,28,"1,042","1,473",0,1558,0,0,0,2992,4,0.8519,4.725616339,3.784189634,-0.16028613,-0.16028613
565d6bd007f028,5eb5c7dfa6b24d,93fd4b75702001,solo,0,4,373.4,0,3,0,0,2,1,55.76,"1,494",13,1,94,0,94,0,0,0,0,0,0,0,2065,2,0.9032,5.922650231,2.564949357,-0.101811266,-0.101811266
797b0f6a5e8c0d,9f6fa14e667621,bb3c21d64f7c6e,squad,0,7,"1,015",4,6,0,1,12,2,184.2,"1,374",1,3,29,7,29,0,0,1,0,0,0,0,3493,10,1,6.922643891,0,0,0
8e2e0c2e5514f5,57de21662e7d33,b08bf9718090ba,duo,0,0,18,0,0,1,0,0,0,0,"1,897",90,2,49,0,49,0,0,0,0,0,0,0,26.15,0,0.0625,2.890371758,4.49980967,-2.772588722,-2.772588722
497e9dbab1a801,cb8e9f4afbdc12,4fee6aa280ab24,squad,0,6,36.44,0,0,0,1,0,0,0,"1,299",37,3,30,0,28,0,0,0,0,0,0,0,1617,7,0.931,3.595667072,3.610917913,-0.071496002,-0.071496002
